-2	4
0	0
-2	4
4	16
1	1
4	16
2	4
-6	36
-10	100
-7	49
-7	49
-10	100
0	0
-2	4
-9	81
0	0
3	9
9	81
21	441
12	144
2	4
6	36
17	289
14	196
5	25
17	289
24	576
22	484
20	400
18	324
15	225
10	100
3	9
0	0
2	4
4	16
-2	4
4	16
9	81
2	4
-2	4
-7	49
-1	1
5	25
6	36
5	25
-1	1
1	1
5	25
4	16
4	16
9	81
11	121
5	25
7	49
16	256
11	121
3	9
8	64
7	49
3	9
5	25
-1	1
1	1
2	4
-4	16
1	1
0	0
4	16
1	1
-8	64
3	9
7	49
4	16
-4	16
-9	81
0	0
-1	1
-5	25
5	25
14	196
15	225
4	16
1	1
12	144
5	25
-9	81
-5	25
3	9
9	81
2	4
-5	25
5	25
15	225
11	121
1	1
0	0
9	81
3	9
-4	16
-10	100
-12	144
-3	9
-9	81
-19	361
-8	64
-2	4
-10	100
-15	225
-11	121
0	0
-6	36
-16	256
-10	100
-6	36
-5	25
-11	121
-11	121
10	100
13	169
-10	100
-15	225
3	9
14	196
-2	4
-11	121
-8	64
-3	9
-12	144
-26	676
-20	400
-5	25
-4	16
-19	361
-12	144
8	64
9	81
-4	16
-5	25
3	9
-2	4
-19	361
-20	400
3	9
12	144
-3	9
-9	81
7	49
14	196
0	0
-4	16
7	49
13	169
-1	1
-15	225
-13	169
0	0
4	16
-8	64
-9	81
8	64
7	49
-13	169
-4	16
15	225
13	169
-6	36
-11	121
6	36
14	196
3	9
-16	256
-10	100
7	49
-8	64
-12	144
5	25
23	529
15	225
-10	100
-10	100
-1	1
5	25
-16	256
-18	324
14	196
11	121
-6	36
-2	4
13	169
16	256
-4	16
-18	324
-14	196
0	0
1	1
-11	121
-15	225
-4	16
2	4
-5	25
-7	49
5	25
26	676
18	324
-11	121
3	9
23	529
0	0
-22	484
-13	169
7	49
-4	16
-29	841
-7	49
16	256
2	4
-23	529
-17	289
12	144
2	4
-25	625
-17	289
0	0
1	1
0	0
-4	16
12	144
20	400
11	121
5	25
11	121
22	484
15	225
-5	25
-6	36
12	144
12	144
-1	1
-6	36
11	121
18	324
2	4
0	0
14	196
23	529
5	25
-14	196
-4	16
7	49
-3	9
-5	25
12	144
32	1024
17	289
-7	49
8	64
16	256
6	36
-10	100
-10	100
3	9
-6	36
-20	400
-20	400
-5	25
0	0
-1	1
-9	81
-7	49
9	81
0	0
-13	169
-4	16
3	9
3	9
-4	16
-8	64
3	9
6	36
-7	49
-6	36
7	49
10	100
3	9
-4	16
4	16
16	256
8	64
-3	9
2	4
11	121
3	9
-2	4
4	16
9	81
4	16
-3	9
0	0
0	0
-1	1
-5	25
-11	121
-7	49
-6	36
-9	81
-3	9
0	0
6	36
10	100
-4	16
-2	4
0	0
-10	100
-5	25
-7	49
-10	100
-4	16
-4	16
-1	32786
6	
4	
5	
-4	
-2	
12	
5	
2	
5	
-1	
-4	
-4	
3	
1	
-2	
2	
0	
-4	
-2	
-5	
-7	
-12	
-17	
-8	
-4	
0	
3	
5	
11	
16	
18	
9	
12	
14	
-2	
-4	
4	
6	
-4	
-15	
-3	
9	
1	
-9	
5	
14	
5	
-9	
-12	
6	
9	
-5	
-7	
15	
31	
8	
-11	
3	
11	
-2	
-20	
-10	
5	
-4	
-21	
-21	
9	
16	
-1	
-8	
5	
22	
2	
-16	
14	
28	
6	
-17	
-10	
24	
20	
-23	
-18	
26	
29	
-16	
-33	
1	
9	
-26	
-32	
-6	
12	
10	
-18	
-24	
17	
23	
-17	
-29	
7	
23	
-20	
-34	
6	
29	
-7	
-31	
1	
28	
10	
-24	
-22	
7	
11	
-21	
-29	
-1	
15	
-9	
-32	
-6	
26	
0	
-29	
-13	
10	
1	
-28	
-26	
4	
1	
-22	
-18	
6	
18	
5	
-9	
2	
20	
10	
-10	
-2	
14	
10	
-6	
-6	
19	
33	
4	
-6	
16	
21	
4	
-8	
4	
22	
11	
-3	
3	
9	
13	
4	
7	
28	
24	
8	
2	
15	
19	
5	
-3	
3	
11	
8	
7	
6	
9	
13	
-3	
-8	
10	
8	
-5	
-7	
-2	
7	
5	
7	
8	
10	
9	
6	
6	
17	
11	
-10	
-2	
-6	
-20	
-24	
-9	
-4	
-12	
-5	
-10	
-11	
-14	
-16	
-13	
-15	
-13	
-16	
-10	
-1	
-6	
-9	
-6	
-4	
-4	
-11	
-14	
-2	
-9	
-23	
-22	
-11	
-3	
-12	
-7	
3	
-1	
3	
-1	
5	
13	
-1	
-5	
1	
11	
8	
1	
11	
20	
18	
9	
11	
6	
-2	
6	
9	
5	
0	
2	
0	
-4	
10	
11	
-4	
2	
1	
-5	
1	
0	
5	
1	
2	
4	
-3	
3	
0	
-7	
-2	
-1	
-2	
-2	
3	
3	
6	
10	
10	
8	
2	
3	
9	
6	
4	
6	
8	
1	
-3	
-2	
-6	
-4	
-2	
-7	
-2	
2	
-5	
-5	
6	
5	
1	
2	
3	
8	
7	
-6	
-7	
6	
10	
3	
-1	
8	
7	
4	
2	
-6	
-3	
0	
-7	
-4	
-8	
-11	
-11	
-15	
-9	
-7	
-25	
-25	
-15	
-16	
-13	
-15	
-8	
-4	
-6	
-5	
0	
-2	
-12	
-15	
-9	
-3	
-3	
-6	
2	
5	
3	
5	
1	
-1	
7	
3	
-3	
2	
3	
4	
8	
7	
7	
4	
-4	
7	
21	
11	
2	
2	
6	
5	
3	
11	
21	
16	
4	
7	
19	
16	
0	
1	
16	
19	
5	
-3	
6	
8	
9	
1	
-10	
6	
6	
-12	
-4	
0	
-10	
-12	
-8	
5	
0	
-17	
-17	
-10	
-4	
-9	
-16	
-11	
-4	
-10	
-26	
-17	
5	
1	
-14	
-8	
6	
12	
1	
-11	
0	
9	
0	
-13	
-7	
10	
3	
-18	
-15	
-1	
-9	
-19	
-16	
-3	
1	
-14	
-16	
-1	
3	
-16	
-20	
-3	
9	
12	
-4	
-1	
20	
16	
1	
5	
28	
29	
11	
9	
20	
28	
9	
-3	
14	
23	
11	
-7	
-6	
15	
14	
-8	
-13	
7	
19	
3	
-7	
5	
13	
0	
-13	
-6	
18	
12	
-14	
-3	
10	
7	
-1	
-8	
8	
17	
1	
-7	
8	
15	
4	
-8	
-4	
9	
4	
-7	
-9	
3	
9	
-13	
-21	
-7	
-3	
-11	
-14	
-9	
4	
4	
-6	
-5	
6	
12	
2	
-3	
11	
17	
4	
-4	
1	
9	
4	
-3	
-11	
-6	
-1	
-15	
-12	
-11	
-6	
-1	
-10	
-12	
-7	
-1	
-13	
-19	
-9	
-8	
-16	
-21	
-12	
-11	
-14	
-7	
2	
2	
